Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Wednesday January 01 2025 00:00:00,156791316078.73572,742724321697.7766,-6610965628.552347,-2289.62693700892,-10366.236456127339,-57.26257077059449
Wednesday January 01 2025 00:00:43,156791218122.63626,742723876262.2704,-6610968069.589196,-2265.5198822139014,-10347.337641740112,-56.25002233497453
Wednesday January 01 2025 00:01:26,156791121202.62943,742723431640.4949,-6610970467.055467,-2241.446711543771,-10328.396475091591,-55.23645818853219
Wednesday January 01 2025 00:02:09,156791025194.03702,742722987261.3823,-6610972823.920587,-2217.3764614184706,-10309.388462747846,-54.220570027231105
Wednesday January 01 2025 00:02:52,156790930327.87643,742722544201.835,-6610975134.429521,-2193.3674363488826,-10290.359633359483,-53.20481811167042
Wednesday January 01 2025 00:03:35,156790836404.40933,742722101538.7198,-6610977403.372541,-2169.369590642011,-10271.270343165243,-52.18708589419871
Wednesday January 01 2025 00:04:17,156790743906.53467,742721661576.6547,-6610979619.098736,-2145.5078898515744,-10252.220343121036,-51.17268532349774
Wednesday January 01 2025 00:05:00,156790652400.94333,742721222287.3795,-6610981792.022231,-2121.6723662217205,-10233.122251903875,-50.15695604848212
Wednesday January 01 2025 00:05:43,156790561895.95792,742720783716.2096,-6610983921.851842,-2097.865445478511,-10213.977957826775,-49.13999948123046
Wednesday January 01 2025 00:06:26,156790472441.761,742720346115.8776,-6610986007.332878,-2074.100824021169,-10194.798489014358,-48.122401189443636
Wednesday January 01 2025 00:07:09,156790383644.32996,742719907544.2859,-6610988057.461815,-2050.2729494163373,-10175.498268789324,-47.099627642435365
Wednesday January 01 2025 00:07:52,156790296115.98056,742719471026.5089,-6610990057.985561,-2026.5461308304177,-10156.210251877006,-46.07872683293152
Wednesday January 01 2025 00:08:35,156790209424.6377,742719034421.3865,-6610992018.724613,-2002.8039724673667,-10136.839893687258,-45.054693250720725
Wednesday January 01 2025 00:09:18,156790123833.39172,742718599055.6437,-6610993933.615965,-1979.1185771271214,-10117.445900435296,-44.030632551819814
Wednesday January 01 2025 00:10:01,156790039472.77988,742718165625.2107,-6610995799.774305,-1955.5278366767982,-10098.059665546087,-43.00819601181951
Wednesday January 01 2025 00:10:44,156789955902.93082,742717731878.7975,-6610997626.851611,-1931.9091915876063,-10078.58046394608,-41.982071510450204
Wednesday January 01 2025 00:11:27,156789873609.17905,742717300348.4563,-6610999404.180601,-1908.400503012455,-10059.122054417323,-40.958250599250185
Wednesday January 01 2025 00:12:10,156789792113.72003,742716868542.4181,-6611001142.027227,-1884.8660110024055,-10039.572134546315,-39.93082322374257
Wednesday January 01 2025 00:12:53,156789711755.55063,742716438259.8634,-6611002833.056008,-1861.4037348038112,-10020.012027034636,-38.904064955166845
Wednesday January 01 2025 00:13:36,156789632349.79227,742716008526.8792,-6611004481.115962,-1837.9605595503435,-10000.397550021113,-37.87565488217607
Wednesday January 01 2025 00:14:19,156789553902.13403,742715579375.2683,-6611006085.971885,-1814.5381745972625,-9980.729984117432,-36.84566241106942
Wednesday January 01 2025 00:15:02,156789476508.65073,742715151340.7936,-6611007645.587433,-1791.1657968047357,-9961.033868136183,-35.81537254417673
Wednesday January 01 2025 00:15:44,156789400182.4791,742714724516.7123,-6611009159.680308,-1767.8485183593425,-9941.313654000873,-34.78501543828358
Wednesday January 01 2025 00:16:27,156789324856.31998,742714298543.0227,-6611010629.546553,-1744.5666621798161,-9921.55279459661,-33.753724932947634
Wednesday January 01 2025 00:17:10,156789250645.2776,742713874092.4211,-6611012052.929619,-1721.3569969162804,-9901.78267033983,-32.72313582869863
Wednesday January 01 2025 00:17:53,156789177390.94586,742713450277.2045,-6611013432.839682,-1698.1709751082203,-9881.962046813136,-31.69109664633623
Wednesday January 01 2025 00:18:36,156789104859.33395,742713025722.7924,-6611014773.452562,-1674.9333005639025,-9862.026107122421,-30.654239938032262
Wednesday January 01 2025 00:19:19,156789033286.2453,742712601787.8744,-6611016070.172781,-1651.7182426722597,-9842.038109952377,-29.61586336334669
Wednesday January 01 2025 00:20:02,156788962717.5049,742712178751.1338,-6611017322.08313,-1628.5410294857707,-9822.011118642351,-28.576646354679475
