Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Saturday January 04 2025 11:54:03,-35409230768.70979,142252366269.1803,19170441.270625554,-33014.44252272335,4278.794697909722,-393.62007187253727
Saturday January 04 2025 12:09:47,-35439770848.91737,142256321906.08594,18806314.97236869,-33013.10908001238,4273.279306169753,-393.6197705529408
Saturday January 04 2025 12:32:32,-35470916899.25343,142260350939.7823,18434948.8933487,-33011.74821930417,4267.655370033291,-393.61944885603515
Saturday January 04 2025 12:56:29,-35515978164.94005,142266170940.28033,17897639.908312067,-33009.777647454284,4259.520403012934,-393.6189577081907
Saturday January 04 2025 13:22:45,-35563418729.50255,142272286621.81335,17331926.312646758,-33007.70083574973,4250.957932415583,-393.61840776686466
Saturday January 04 2025 13:44:02,-35615434092.41912,142278978352.05258,16711619.711075079,-33005.42117131754,4241.572161503169,-393.6177660760514
Saturday January 04 2025 14:14:50,-35657597874.4701,142284392170.8222,16208766.947753014,-33003.571289519,4233.965872402156,-393.61721621570484
Saturday January 04 2025 14:51:01,-35718574291.797455,142292204877.59845,15481502.744235484,-33000.89289334566,4222.968723049994,-393.61637399991594
Saturday January 04 2025 15:25:21,-35790213745.88791,142301358657.70547,14626987.356490292,-32997.741390880175,4210.052886236662,-393.61531352122216
Saturday January 04 2025 15:55:33,-35858172202.60326,142310016991.373,13816305.614770794,-32994.74709925318,4197.8050872493895,-393.614236702081
Saturday January 04 2025 16:24:04,-35917984800.46317,142317617272.64297,13102737.43325974,-32992.10791961551,4187.028911834444,-393.6132319383126
Saturday January 04 2025 16:59:55,-35974406753.103836,142324769363.54395,12429569.22679943,-32989.615091163774,4176.866649407512,-393.6122352354071
Saturday January 04 2025 17:29:36,-36045357011.94952,142333739174.8675,11582994.57164794,-32986.4758884644,4164.091848244705,-393.6109145533637
Saturday January 04 2025 18:04:30,-36104129717.678696,142341149293.60983,10881662.9720972,-32983.87170110777,4153.513177837642,-393.60976377780526
Saturday January 04 2025 18:37:26,-36173193724.06502,142349833610.82367,10057457.689641686,-32980.80713567144,4141.086229241795,-393.6083458050159
Saturday January 04 2025 19:16:07,-36238340411.35188,142358002245.00262,9279933.973916166,-32977.912062555435,4129.368181100471,-393.60694324866085
Saturday January 04 2025 19:48:05,-36314893779.47421,142367572481.8497,8366188.195884643,-32974.50471679927,4115.6034072162765,-393.6052145192275
Saturday January 04 2025 20:14:03,-36378118423.87227,142375453097.40576,7611466.741177726,-32971.686255379194,4104.2393046960115,-393.6037211665857
Saturday January 04 2025 20:38:50,-36429494164.07643,142381841260.25217,6998141.922402291,-32969.39309192334,4095.0076637399716,-393.60246399981423
Saturday January 04 2025 21:33:12,-36478527410.994286,142387925152.07202,6412743.890030773,-32967.20205529125,4086.199216293288,-393.60122764708314
Saturday January 04 2025 22:15:13,-36586046356.534805,142401221328.9555,5128967.181334193,-32962.38929874531,4066.89203274187,-393.59839188292926
Saturday January 04 2025 22:53:43,-36669139896.44105,142411455169.79764,4136707.887504825,-32958.66206532374,4051.9782315253033,-393.5960830717888
Saturday January 04 2025 23:25:01,-36745292937.5771,142420802217.58105,3227234.958864694,-32955.240184196016,4038.315721036315,-393.5938774137329
Saturday January 04 2025 23:54:14,-36807173138.63837,142428374880.86325,2488152.4979438866,-32952.455441696904,4027.21782078163,-393.5920220227594
Sunday January 05 2025 00:21:48,-36864933472.70742,142435425145.24384,1798223.544395873,-32949.85270601207,4016.861984557714,-393.5902391255463
Sunday January 05 2025 00:47:56,-36919414826.83669,142442059050.68982,1147413.8961232626,-32947.39472121614,4007.09685516457,-393.5885123085879
Sunday January 05 2025 01:20:52,-36971101420.43225,142448338185.99408,529946.9589978332,-32945.060131983264,3997.835182478888,-393.5868335964241
Sunday January 05 2025 01:50:12,-37036198208.820816,142456226417.52274,-247781.56816134672,-32942.116100369385,3986.1740528144737,-393.5846632974333
